name,status,broad_category,subsection,source_url,notes
agentic_radar,wired,AI red team · eval,Wired-in adapter (ai),https://github.com/splx-ai/agentic-radar,"SplxAI Agentic Radar — SAST for agentic AI workflows (LangChain, LlamaIndex, CrewAI, Claude Agent SDK, OpenAI Assistants). Surfaces over-broad tool grants, agent-to-agent privilege escalation, PHI flow into prompts, prompt-injection-prone i"
eval_suite,wired,AI red team · eval,Wired-in adapter (ai),https://github.com/n08976/ai-protect/blob/main/pipeline/adapters/eval_suite.py,Pre-prod gate: hallucination / bias / jailbreak rate must pass thresholds before deploy. Plug TruthfulQA / MedQA / custom QA harness.
garak,wired,AI red team · eval,Wired-in adapter (ai),https://github.com/NVIDIA/garak,"NVIDIA garak — LLM vulnerability scanner. Probes for prompt injection, encoding bypass, leakage, jailbreaks, toxicity."
promptfoo,wired,AI red team · eval,Wired-in adapter (ai),https://github.com/promptfoo/promptfoo,"promptfoo / DeepEval — curated AI eval suites (correctness, safety, refusal). Complement to PyRIT."
pyrit,wired,AI red team · eval,Wired-in adapter (ai),https://github.com/Azure/PyRIT,"Microsoft PyRIT — multi-turn AI red team orchestration. Strategies: injection, encoding, multiturn, crescendo, leakage."
atomic,wired,Dynamic · web · network,Wired-in adapter (dynamic),https://github.com/redcanaryco/atomic-red-team,Red Canary Atomic Red Team — MITRE ATT&CK technique emulation against the agent runtime host. Validates EDR detection coverage.
burp,wired,Dynamic · web · network,Wired-in adapter (dynamic),https://portswigger.net/burp,PortSwigger Burp Suite via REST API (Pro / Enterprise). Passive or active scan against the surrounding web app.
caldera,wired,Dynamic · web · network,Wired-in adapter (dynamic),https://github.com/mitre/caldera,MITRE Caldera — autonomous adversary emulation. Chained ATT&CK abilities (an adversary profile) run end-to-end via Caldera's REST API; complements Atomic (per-technique) with campaign-shaped coverage. Mutation-required.
dockle,wired,Dynamic · web · network,Wired-in adapter (dynamic),https://github.com/goodwithtech/dockle,dockle — container image hygiene scanner (different focus than Trivy: image best practices).
metasploit,wired,Dynamic · web · network,Wired-in adapter (dynamic),https://github.com/rapid7/metasploit-framework,Metasploit Framework via RPC. Auxiliary scanners by default; exploit modules require Tier 1 + explicit allow-list.
nuclei,wired,Dynamic · web · network,Wired-in adapter (dynamic),https://github.com/projectdiscovery/nuclei,Template-driven web vulnerability scanner. Runs the exposures/misconfiguration/vulnerabilities templates by default.
recon,wired,Dynamic · web · network,Wired-in adapter (dynamic),https://github.com/projectdiscovery,"ProjectDiscovery chain (subfinder → httpx → naabu → katana). Subdomain enumeration, HTTP probing, port scan, URL crawl. Drives shadow-AI discovery."
